image_number,time_stamp
0,1519279176.024769
1,1519279176.185675
2,1519279176.351593
3,1519279176.517344
4,1519279176.683537
5,1519279176.851744
6,1519279177.017814
7,1519279177.183436
8,1519279177.349628
9,1519279177.517997
10,1519279177.683419
11,1519279177.849561
12,1519279178.022474
13,1519279178.18152
14,1519279178.349505
15,1519279178.515913
16,1519279178.681381
17,1519279178.847438
18,1519279179.015809
19,1519279179.181988
20,1519279179.347545
21,1519279179.513565
22,1519279179.681638
23,1519279179.84749
24,1519279180.013869
25,1519279180.179495
26,1519279180.345782
27,1519279180.513362
28,1519279180.67964
29,1519279180.845253
30,1519279181.011525
31,1519279181.179589
32,1519279181.354102
33,1519279181.511492
34,1519279181.677676
35,1519279181.843416
36,1519279182.011529
37,1519279182.177443
38,1519279182.343839
39,1519279182.50949
40,1519279182.677664
41,1519279182.8435
42,1519279183.01016
43,1519279183.175478
44,1519279183.34371
45,1519279183.509661
46,1519279183.675501
47,1519279183.841615
48,1519279184.007415
49,1519279184.175473
50,1519279184.341713
51,1519279184.507473
52,1519279184.673451
53,1519279184.841512
54,1519279185.007475
55,1519279185.173879
56,1519279185.339423
57,1519279185.507539
58,1519279185.67328
59,1519279185.839559
60,1519279186.005672
61,1519279186.171663
62,1519279186.339415
63,1519279186.505617
64,1519279186.6717
65,1519279186.837552
66,1519279187.005377
67,1519279187.171626
68,1519279187.337735
69,1519279187.503639
70,1519279187.671448
71,1519279187.83777
72,1519279188.003514
73,1519279188.169522
74,1519279188.335452
75,1519279188.50354
76,1519279188.669452
77,1519279188.835502
78,1519279189.001371
79,1519279189.169439
80,1519279189.335603
81,1519279189.50206
82,1519279189.668134
83,1519279189.835683
84,1519279190.004356
85,1519279190.167606
86,1519279190.333529
87,1519279190.499587
88,1519279190.667408
89,1519279190.83365
90,1519279190.999587
91,1519279191.165837
92,1519279191.333311
93,1519279191.499572
94,1519279191.665873
95,1519279191.831592
96,1519279191.999479
97,1519279192.16552
98,1519279192.331398
99,1519279192.497581
100,1519279192.663542
101,1519279192.831698
102,1519279192.99751
103,1519279193.163583
104,1519279193.329586
105,1519279193.497551
106,1519279193.6635
107,1519279193.831225
108,1519279193.995649
109,1519279194.162918
110,1519279194.329703
111,1519279194.495446
112,1519279194.661465
113,1519279194.827551
